ndzi mi ponisa evuhlongeni bya kona	and I will deliver you from slavery to them
ndzi mi kutsula hi mintirho ya mina ya matimba ni ku avanyisa loku hlamarisaka	and I will redeem you with an outstretched arm and with great acts of judgment
Naswona ndzi ta mi endla vanhu va mina	I will take you to be my people
mina ndzi va Xikwembu xa n'wina	and I will be your God
kutani mi ta swi tiva leswaku hi mina HOSI Xikwembu xa n'wina	and you shall know that I am the LORD your God
lexi nga ta mi humesa emintirhweni yo tika ya le Egipta	who has brought you out from under the burdens of the Egyptians
Muxe a ya vurisa sweswo eka vanhu va Israele	Moses spoke thus to the people of Israel
kambe vona a va n'wi yingisanga	but they did not listen to Moses
hikuva ku tika ka vuhlonga bya vona a ku va heta matimba	because of their broken spirit and harsh slavery
Kutani HOSI Xikwembu xi ku ka Muxe	So the LORD said to Moses
Famba u ya byela Faro hosi ya Egipta	Go in
a tshika vanhu va Israele va huma etikweni ra yena	tell Pharaoh king of Egypt to let the people of Israel go out of his land
Vana va Rhuveni	These are the heads of their fathers' houses
mativula ya Yakobo	the sons of Reuben
hi lava	the firstborn of Israel
Hanoko	Hanoch
na Palu	Pallu
na Hesironi	Hezron
na Karimi	and Carmi
hi vona va nyimba ya ka Rhuveni	these are the clans of Reuben
Vana va Kohata hi lava	The sons of Kohath
Amirama	Amram
na Yisihara	Izhar
na Hebroni	Hebron
na Uziele	and Uzziel
Kohata ú hanyile malembe ya 133	the years of the life of Kohath being 133 years
Amirama a a tekile Yokebedi makwavo wa tata wa yena	Amram took as his wife Jochebed his father's sister
Yokebedi a veleka Aroni na Muxe	and she bore him Aaron and Moses
Amiramu ú hanyile malembe ya 137	the years of the life of Amram being 137 years
Vana va Yisihara hi lava	The sons of Izhar
Kora	Korah
na Nefege	Nepheg
na Zikri	and Zichri
Vana va Uziele hi lava	The sons of Uzziel
Mixaele	Mishael
na Elisafani	Elzaphan
na Sitri	and Sithri
Aroni a a tekile Elixeba N'wa-Aminadaba makwavo wa Nahaxoni	Aaron took as his wife Elisheba
kutani Elixeba a veleka	the daughter of Amminadab and the sister of Nahshon
Nadabu	and she bore him Nadab
na Abihu	Abihu
na Eliyazara	Eleazar
na Itamara	and Ithamar
Vana va Kora hi lava	The sons of Korah
Asiri	Assir
na Elkana	Elkanah
na Abiyasafa	and Abiasaph
hi vona va yindlu ya ka Kora	these are the clans of the Korahites
Muxe loyi na Aroni loyi	It was they who spoke to Pharaoh king of Egypt about bringing out the people of Israel from Egypt
hi vona lava nga ya byela Faro leswaku a tshika Vaisraele va huma etikweni ra Egipta	this Moses and this Aaron
Siku leri HOSI Xikwembu xi vulavuleke na Muxe etikweni ra Egipta	On the day when the LORD spoke to Moses in the land of Egypt
xi te ka yena	the LORD said to Moses
Hi mina HOSI Xikwembu	I am the LORD
u ta byela Faro hosi ya Egipta hinkwaswo leswi ndzi ku lerisaka swona	tell Pharaoh king of Egypt all that I say to you
Kambe Muxe a hlamula a ku	But Moses said to the LORD
Vona	Behold
ndzi ni manghanghamila	I am of uncircumcised lips
xana Faro ú ta ndzi twa ke	How will Pharaoh listen to me
Kutani HOSI Xikwembu xi ku ka Muxe	And the LORD said to Moses
Languta	See
ndzi ta endla leswaku Faro a ku teka onge u Xikwembu	I have made you like God to Pharaoh
kutani makwenu Aroni ú ta va nomo wa wena	and your brother Aaron shall be your prophet
Wena u ta vula hinkwaswo leswi ndzi nga ta ku lerisa swona	You shall speak all that I command you
kutani makwenu Aroni yena ú ta byela Faro leswaku a tshika Vaisraele va huma etikweni ra yena	and your brother Aaron shall tell Pharaoh to let the people of Israel go out of his land
Kambe mina ndzi ta nonon'hwisa mbilu ya Faro	But I will harden Pharaoh's heart
lero hambiloko ndzi andzisa swikombiso ni swihlamariso etikweni ra Egipta	and though I multiply my signs and wonders in the land of Egypt
Loko ndzi tirhisile matimba ya mina ehenhla ka tiko ra Egipta ku humesa vanhu va mina exikarhi ka rona	The Egyptians shall know that I am the LORD
hi kona Vaegipta va nga ta tiva leswaku hi mina HOSI Xikwembu	when I stretch out my hand against Egypt and bring out the people of Israel from among them
Enkarhini lowu va nga ya vulavula na Faro	Now Moses was eighty years old
Muxe a a ri ni malembe ya 80	and Aaron eighty-three years old
Aroni yena a a ri ni malembe ya 83	when they spoke to Pharaoh
Kutani HOSI Xikwembu xi ku ka Muxe na Aroni	Then the LORD said to Moses and Aaron
Un'wana ni un'wana wa vona a hoxa nhonga ya yena ehansi	For each man cast down his staff
kutani yi hundzuka nyoka	and they became serpents
kambe nhonga ya Aroni yi mitetela ta vona	But Aaron's staff swallowed up their staffs
Hiloko HOSI Xikwembu xi ku ka Muxe	Then the LORD said to Moses
Faro wa tinonon'hwisa	Pharaoh's heart is hardened
ú ala ku tshika vanhu va famba	he refuses to let the people go
Kutani yana eka Faro nimpundzu	Go to Pharaoh in the morning
nkarhi lowu a humaka a ya enambyeni	as he is going out to the water
u famba u khomile nhonga leyi a yi hundzukile nyoka	Stand on the bank of the Nile to meet him
u fika u n'wi yimela eribuweni ra nambu	and take in your hand the staff that turned into a serpent
Tinhlampfi ti ta fa enambyeni	The fish in the Nile shall die
nambu wa kona wu ta nun'hwa	and the Nile will stink
kutani vanhu va Egipta va ta tsandzeka ku nwa mati ya wona	and the Egyptians will grow weary of drinking water from the Nile
’	'
Kutani HOSI Xikwembu xi ku ka Muxe	And the LORD said to Moses
Lerisa Aroni leswaku a teka nhonga ya yena hi voko	Say to Aaron
a yi tlakusela ehenhla ka mati hinkwawo ya le Egipta	'Take your staff and stretch out your hand over the waters of Egypt
emilambyeni	over their rivers
ni le tindleleni ta mati	their canals
ni le maqhivini	and their ponds
ni le mativeni hinkwawo	and all their pools of water
kutani mati ya kona ma ta hundzuka ngati	so that they may become blood
Tiko hinkwaro ra Egipta ri ta tala hi ngati	and there shall be blood throughout all the land of Egypt
yi ta va kona ni le swibyeni swo vatliwa ni le makhuwaneni	even in vessels of wood and in vessels of stone
Tinhlampfi ta nambu ti fa	And the fish in the Nile died
nambu wu sungula ku nun'hwa	and the Nile stank
kutani vanhu va Egipta va tsandzeka ku nwa mati ya kona	so that the Egyptians could not drink water from the Nile
tiko ra Egipta hinkwaro ri tala hi ngati	There was blood throughout all the land of Egypt
Kambe vangoma va tiko ra Egipta na vona va endlisa sweswo hi migilo-gilo ya vona	But the magicians of Egypt did the same by their secret arts
hikokwalaho Faro a ya emahlweni a tinonon'hwisa	So Pharaoh's heart remained hardened
a nga yingisi Muxe na Aroni	and he would not listen to them
tani hilaha HOSI Xikwembu a xi vurile hakona	as the LORD had said
Kutani Faro a tlhelela entsindza	Pharaoh turned and went into his house
leswi humeleleke a swi nga n'wi khumbanga nikutsongo	and he did not take even this to heart
Kutani HOSI Xikwembu xi ku ka Muxe	Then the LORD said to Moses
Famba eka Faro	Go in to Pharaoh and say to him
u ya n'wi byela leswaku mina HOSI Xikwembu ndzi vurisa sweswo	'Thus says the LORD
ndzi ri	Let my people go
‘Tshika vanhu va mina va famba va ya ndzi gandzela	that they may serve me
Hiloko Aroni a tlakusela voko ra yena ehenhla ka mati ya Egipta	So Aaron stretched out his hand over the waters of Egypt
kutani mintlambya yi huma yi tata tiko hinkwaro	and the frogs came up and covered the land of Egypt
Mintlambya yi ta suka eka wena ni le tindlwini ta wena ni le ka malandza ya wena ni ka vanhu va wena	The frogs shall go away from you and your houses and your servants and your people
yi ta sala enambyeni ntsena	They shall be left only in the Nile
kutani Vaegipta va yi hlengeleta hi tinhulu	And they gathered them together in heaps
tiko hinkwaro ri nun'hwa hi yona	and the land stank
Kwalaho vangoma va ringeta ku vanga tinhwala hi migilo-gilo ya vona	The magicians tried by their secret arts to produce gnats
kambe va tsandzeka	but they could not
Tinhwala a ti tele ehenhla ka vanhu ni swifuwo	So there were gnats on man and beast
Kutani HOSI Xikwembu xi endlisa sweswo	And the LORD did so
Xi rhumela papa lerikulu ra mabawa emutini wa Faro ni le mitini ya malandza ya yena	There came great swarms of flies into the house of Pharaoh and into his servants' houses
tiko hinkwaro ra Egipta ri xanisiwa hi mabawa lawa	Throughout all the land of Egypt the land was ruined by the swarms of flies
Kutani Muxe a ku	Then Moses said
Vona	Behold
sweswi ndzi humaka laha ka wena	I am going out from you and I will plead with the LORD that the swarms of flies may depart from Pharaoh
ndzi ta khongela HOSI Xikwembu leswaku mundzuku mabawa ma suka laha ka wena Faro	from his servants
ma suka ni le ka malandza ya wena ni le ka vanhu va wena	and from his people
ntsena u nga ha engeti u tlanga hi hina	tomorrow
hi ku sivela vanhu va hina ku ya humesela HOSI Xikwembu emagandzelo	Only let not Pharaoh cheat again by not letting the people go to sacrifice to the LORD
Kutani HOSI Xikwembu xi endla hilaha Muxe a kombeleke hakona	And the LORD did as Moses asked
Xi susa mabawa eka Faro	and removed the swarms of flies from Pharaoh
ni le ka malandza ya yena	from his servants
ni le ka vanhu va yena	and from his people
ku nga sali na rin'we ra wona	not one remained
Kambe Faro a tlhela a tinonon'hwisa	But Pharaoh hardened his heart this time also
a nga va tshiki vanhu leswaku va famba	and did not let the people go
Kambe mina HOSI Xikwembu ndzi ta hlawula swifuwo swa Vaisraele eka swifuwo swa Vaegipta	But the LORD will make a distinction between the livestock of Israel and the livestock of Egypt
leswaku ku nga tshuki ku fa ni xin'we xa leswi swi nga swa Vaisraele	so that nothing of all that belongs to the people of Israel shall die
’	'
Kutani HOSI Xikwembu xi veka nkarhi xi ku	And the LORD set a time
Swilo leswi ndzi ta swi endla mundzuku laha tikweni	saying
mina HOSI	Tomorrow the LORD will do this thing in the land
Loko Faro a vutisisa	And Pharaoh sent
a twa leswaku ni xin'we xa swifuwo swa Vaisraele a xi fanga	and behold
kambe hambiswiritano	not one of the livestock of Israel was dead
a ya emahlweni a tinonon'hwisa	But the heart of Pharaoh was hardened
a nga tshiki vanhu leswaku va famba	and he did not let the people go
Kambe HOSI Xikwembu xi nonon'hwisa mbilu ya Faro	But the LORD hardened the heart of Pharaoh
a nga yingisi Muxe na Aroni	and he did not listen to them
tanihilaha a xi byerile Muxe hakona	as the LORD had spoken to Moses
Kambe ndzi ku tshikile u hanya	But for this purpose I have raised you up
xikongomelo xa kona ku ri ku ku komba matimba ya mina	to show you my power
leswaku vito ra mina ri ta twarisiwa emisaveni hinkwayo	so that my name may be proclaimed in all the earth
Hikokwalaho mundzuku kwalomu ka minkarhi yoleyi	Behold
ndzi ta vanga xihangu lexikulu	about this time tomorrow I will cause very heavy hail to fall
lexi ku sukela loko tiko ra Egipta ri tumbuluka ku fikela namuntlha xi nga si tshamaka xi va kona	such as never has been in Egypt from the day it was founded until now
Kutani Muxe a tlakusa nhonga ya yena a komba ehenhla	Then Moses stretched out his staff toward heaven
kutani HOSI Xikwembu xi pfumisa tilo	and the LORD sent thunder and hail
xi rhumela ni xihangu	and fire ran down to the earth
rihati ri ba ri nghena ehansi	And the LORD rained hail upon the land of Egypt
Muganga lowu xihangu xi nga wangiki eka wona	Only in the land of Goshen
a wu ri wa le Goxeni ntsena	where the people of Israel were
laha Vaisraele a va tshama kona	was there no hail
Hi khongeleleni eka HOSI Xikwembu	Plead with the LORD
hikuva tilo leri ni xihangu lexi swi hi karhatile ku ringana	for there has been enough of God's thunder and hail
ndzi ta mi tshika mi famba	I will let you go
a mi nga ha kali mi tshama	and you shall stay no longer
Muxe a ku ka yena	Moses said to him
Sweswi ndzi nga ta huma laha ka wena	As soon as I have gone out of the city
ndzi ta tlakusa mavoko ya mina ndzi khongela HOSI Xikwembu	I will stretch out my hands to the LORD
tilo ri ta yima	The thunder will cease
naswona a ku nga ha vi na xihangu	and there will be no more hail
kutani hi kona u nga ta tiva leswaku misava i ya HOSI Xikwembu	so that you may know that the earth is the LORD's
Kambe ndza swi tiva leswaku wena ni malandza ya wena	But as for you and your servants
ni sweswi a mi si va ni xichavo eka HOSI Xikwembu	I know that you do not yet fear the LORD God
Kambe swimilana swa tikoroni a swi herisiwanga	But the wheat and the emmer were not struck down
hikuva swona swa hlwela ku rhumbuka	for they are late in coming up
)	)
Kutani HOSI Xikwembu xi ku ka Muxe	Then the LORD said to Moses
Yana u ya nghena emutini wa Faro	Go in to Pharaoh
Ndzi nonon'hwisile mbilu ya yena ni timbilu ta malandza ya yena	for I have hardened his heart and the heart of his servants
leswaku ndzi ta humesa swikombiso swa mina exikarhi ka vona	that I may show these signs of mine among them
Loko u ala ku tshika vanhu va mina va famba	For if you refuse to let my people go
tiva leswaku mundzuku ndzi ta tisa tinjiya ematlhelweni hinkwawo ya tiko ra wena	behold
E-e	No! Go
loko ku ri leswaku mi tsakela ku ya humesela HOSI Xikwembu emagandzelo	the men among you
a ku fambe vavanuna ntsena! Kwalaho	and serve the LORD
Muxe na Aroni va hlongoriwa	for that is what you are asking
va suka emahlweni ka Faro	And they were driven out from Pharaoh's presence
Kutani tinjiya ti haha ti nghena etikweni ra Egipta	The locusts came up over all the land of Egypt and settled on the whole country of Egypt
ti phatsama ematlhelweni hinkwawo ya rona	such a dense swarm of locusts as had never been before
Tinjiya to tarisa sweswo a ti nga si tshama ti voniwa	nor ever will be again
ti funengeta hinkwako laha hansi	They covered the face of the whole land
ku sala ku lo tshwukelana hi tona	so that the land was darkened
Ti dyetetela swimilana hinkwaswo etikweni	and they ate all the plants in the land and all the fruit of the trees that the hail had left
ti dya ni mihandzu hinkwayo ya mirhi leyi poneke xihangu	Not a green thing remained
a ti siyanga ni xilo ni xin'we xa rihlaza ematlhelweni hinkwawo ya tiko ra Egipta	neither tree nor plant of the field
ti dya hambi yi ri mirhi kumbe swimila-milani emasin'wini	through all the land of Egypt
Hikokwalaho	Now therefore
ndzi kombela leswaku mi ndzi rivalela swidyoho swa mina	forgive my sin
kan'we ntsena	please
naswona ndzi khongeleleni eka HOSI Xikwembu xa n'wina	only this once
leswaku xi bakanyela kule na mina khombo leri ra tinjiya	and plead with the LORD your God only to remove this death from me
Kambe HOSI Xikwembu xi nonon'hwisa mbilu ya Faro	But the LORD hardened Pharaoh's heart
a nga tshiki vanhu va Israele va famba	and he did not let the people of Israel go
Kutani HOSI Xikwembu xi ku ka Muxe	Then the LORD said to Moses
Tlakusela voko ra wena ehenhla	Stretch out your hand toward heaven
u vanga xinyami etikweni ra Egipta	that there may be darkness over the land of Egypt
lexi nga ta endla leswaku vanhu va gugurhuteka kunene	a darkness to be felt
Kutani Faro a vitana Muxe na Aroni	Then Pharaoh called Moses and said
a ku ka vona	Go
Yanani mi ya humesela HOSI Xikwembu emagandzelo	serve the LORD
mindyangu ya n'wina yi nga famba na n'wina	your little ones also may go with you
kambe timbuti ni tinyimpfu ni tihomu ta n'wina	only let your flocks and your herds remain behind
Sweswi	Speak now in the hearing of the people
hlamusela Vaisraele	that they ask
vavanuna ni vavasati	every man of his neighbor and every woman of her neighbor
leswaku hinkwavo va kombela swo bomba ha swona swa silivhere ni nsuku eka vaakelani va vona	for silver and gold jewelry
Kutani HOSI Xikwembu xi endla leswaku Vaisraele va tsakeriwa hi Vaegipta	And the LORD gave the people favor in the sight of the Egyptians
Naswona	Moreover
etikweni ra Egipta	the man Moses was very great in the land of Egypt
Muxe a a ri munhu wo chaviseka swinene emahlweni ka malandza ya Faro ni vaaki va tiko	in the sight of Pharaoh's servants and in the sight of the people
HOSI Xikwembu a xi byerile Muxe xi ku	Then the LORD said to Moses
Ku endlela leswaku swihlamariso swa mina swi andza etikweni ra Egipta	Pharaoh will not listen to you
Faro a nga ka a nga ku yingisi	that my wonders may be multiplied in the land of Egypt
N'hweti leyi eka n'wina yi ta va yo sungula ya tin'hweti hinkwato	This month shall be for you the beginning of months
mi ta sungula lembe ha yona	It shall be the first month of the year for you
Xifuwo xa kona xi fanele ku va xinyimpfana xa khuna kumbe ximbutana xa xiphongho	Your lamb shall be without blemish
xa lembe rin'we	a male a year old
lexi nga solekiki	You may take it from the sheep or from the goats
Loko mi ri n'wina	The blood shall be a sign for you
swi ta tikomba hi ngati lomu mi nga ta va mi ri kona	on the houses where you are
loko ndzi vona ngati	And when I see the blood
ndzi ta hundza ntsena ndzi nga mi khumbi	I will pass over you
Khombo a ri nga mi weli ri mi herisa	and no plague will befall you to destroy you
loko ndzi ri karhi ndzi lovisa tiko ra Egipta	when I strike the land of Egypt
Siku leri	This day shall be for you a memorial day
mi fanele ku ri tsundzuka	and you shall keep it as a feast to the LORD
ri ta va siku leri mi nga ta endla nkhuvo wo tlangela HOSI Xikwembu ha rona	throughout your generations
Nkhuvo lowu wu ta va xiboho ni le ka hinkwavo lava nga ta velekiwa	as a statute forever
hilaha ku nga heriki	you shall keep it as a feast
Hlayisani siku leri ra nkhuvo wa xinkwa xo-ke-comela	And you shall observe the Feast of Unleavened Bread
hikuva hi rona siku leri ndzi humeseke mintshungu ya n'wina etikweni ra Egipta ha rona	for on this very day I brought your hosts out of the land of Egypt
ri endleni siku ra xiboho	Therefore you shall observe this day
eka n'wina ni ka lava nga ta velekiwa	throughout your generations
hilaha ku nga heriki	as a statute forever
Ku sukela madyambu ya siku ra vu-14 eka n'hweti yo sungula	In the first month
ku ya fikela madyambu ya siku ra 21	from the fourteenth day of the month at evening
mi fanele ku dya xinkwa lexo-ke-comela	you shall eat unleavened bread until the twenty-first day of the month at evening
Kutani loko vana va n'wina va mi vutisa va ku	And when your children say to you
‘Xana mi endlela yini nkhuvo lowu xana	'What do you mean by this service
’	'
Leswi va nga kumangiki ni nkarhi wo tiswekela timbuva	And they baked unleavened cakes of the dough that they had brought out of Egypt
hikwalaho ka ku hlongoriwa etikweni ra Egipta	for it was not leavened
va tiswekerile swinkwa leswo-ke-comela hi mapa lawa va humeke na wona le Egipta	because they were thrust out of Egypt and could not wait
lawa va nga ma pfuva ma nga ri na comela	nor had they prepared any provisions for themselves
Vanhu va Israele va tshamile malembe ya 430 etikweni na Egipta	The time that the people of Israel lived in Egypt was 430 years
Loko ku hundzile malembe ya 430	At the end of 430 years
hi siku roleri ra nkhuvo	on that very day
mintshungu hinkwayo ya HOSI Xikwembu yi humile etikweni ra Egipta	all the hosts of the LORD went out from the land of Egypt
Ntshungu hinkwawo wa Vaisraele wu fanele ku dya nkhuvo lowu	All the congregation of Israel shall keep it
HOSI Xikwembu xi lerisa Muxe xi ku	The LORD said to Moses
Namuntlha	Today
hi n'hweti leyi ya Abibi	in the month of Abib
ma huma etikweni ra Egipta	you are going out
Kutani mi hamba mi endla nkhuvo lowu hi n'hweti yoleyi	And when the LORD brings you into the land of the Canaanites
loko HOSI Xikwembu xi ta va xi mi fikisile etikweni leri xi tshembiseke vatata wa n'wina leswaku xi ta mi nyika rona	the Hittites
ri nga tiko ra Vakanana	the Amorites
ni Vahiti	the Hivites
ni Vaamori	and the Jebusites
ni Vahivhi	which he swore to your fathers to give you
ni Vayebusi	a land flowing with milk and honey
leri khulukaka ntswamba ni vulombe	you shall keep this service in this month
Loko Faro a tinonon'hwisile a ala ku hi tshika hi famba	For when Pharaoh stubbornly refused to let us go
HOSI Xikwembu xi herisile mativula hinkwawo ya xinuna ya vanhu ni ya swifuwo etikweni ra Egipta	the LORD killed all the firstborn in the land of Egypt
Hikokwalaho hi humeselaka HOSI Xikwembu emagandzelo hi swa xinuna hinkwaswo leswi rhangeke ku velekiwa	both the firstborn of man and the firstborn of animals
kambe ematshan'wini ya vana va hina va mativula va xinuna	Therefore I sacrifice to the LORD all the males that first open the womb
hi tlhava xifuwo	but all the firstborn of my sons I redeem
’	'
Muxe a a tekile ni marhambu ya Yosefa	Moses took the bones of Joseph with him
hikuva Yosefa a a lerisile Vaisraele ku hlambanya leswaku va ta endla sweswo a ku	for Joseph had made the sons of Israel solemnly swear
Xikwembu xi ta ta xi ta mi kutsula	saying
kutani mi fanele ku teka marhambu ya mina laha tikweni leri	God will surely visit you
mi famba na wona	and you shall carry up my bones with you from here
Kutani HOSI Xikwembu xi ku ka Muxe	Then the LORD said to Moses
Byela Vaisraele leswaku va tlhelela endzhaku	Tell the people of Israel to turn back and encamp in front of Pi-hahiroth
va ya gova emahlweni ka muti wa Pi-Hahiroto	between Migdol and the sea
exikarhi ka Migidolo ni lwandle	in front of Baal-zephon
mi fanele ku gova kusuhi ni muti wa Baala-Sefoni	you shall encamp facing it
eribuweni ra lwandle	by the sea
Loko hosi Faro a byeriwa leswaku Vaisraele va balekile	When the king of Egypt was told that the people had fled
yena ni malandza ya yena va hundzuluxa miehleketo ya vona hi tlhelo ra Vaisraele	the mind of Pharaoh and his servants was changed toward the people
kutani va ku	and they said
Hi endlile yini xana	What is this we have done
Hi tshikile Vaisraele va famba	that we have let Israel go from serving us
HOSI Xikwembu xi nonon'hwisa mbilu ya Faro hosi ya Egipta	And the LORD hardened the heart of Pharaoh king of Egypt
kutani a landza Vaisraele loko va ri karhi va huma va ntshunxekile swinene	and he pursued the people of Israel while the people of Israel were going out defiantly
HOSI Xikwembu	The LORD will fight for you
hi xona xi nga ta mi lwela	and you have only to be silent
Kutani HOSI Xikwembu xi ku ka Muxe	The LORD said to Moses
Xana u huwelela u lava yini eka mina xana	Why do you cry to me
Byela Vaisraele leswaku va famba va ya emahlweni	Tell the people of Israel to go forward
Mina ndzi ta nonon'hwisa timbilu ta Vaegipta leswaku va ta nghena elwandle va landza Vaisraele	And I will harden the hearts of the Egyptians so that they shall go in after them
kutani ndzi ta dzunisiwa swinene hi mhaka ya leswi swi nga ta humelela eka Faro	and I will get glory over Pharaoh and all his host
ni le ka mavuthu ni makalichi ya yena	his chariots
ni le ka vagadi va tihanci ta yena	and his horsemen
Kutani Vaegipta va hlongorisa Vaisraele va va landza hi le ndzhaku	The Egyptians pursued and went in after them into the midst of the sea
Va fika va nghena elwandle va ri ni tihanci ta Faro hinkwato	all Pharaoh's horses
ni makalichi	his chariots
ni vagadi va tihanci ta yena	and his horsemen
Kambe Vaisraele vona va pele lwandle va famba laha ku omeke	But the people of Israel walked on dry ground through the sea
mati ma va endlele makhumbi exineneni ni le ximatsini	the waters being a wall to them on their right hand and on their left
Vaisraele va vona leswi HOSI Xikwembu xi swi endleke loko xi lwa ni Vaegipta hi matimba ya xona lamakulu	Israel saw the great power that the LORD used against the Egyptians
va xi chava ngopfu	so the people feared the LORD
kutani va pfumela eka xona ni le ka nandza wa xona Muxe	and they believed in the LORD and in his servant Moses
hilaha ku nga heriki	The LORD will reign forever and ever
Kutani xi ku ka vona	saying
Loko mi tinyiketa ku yingisa leswi mina HOSI Xikwembu xa n'wina ndzi mi byelaka swona	If you will diligently listen to the voice of the LORD your God
mi endla leswi swi ndzi tsakisaka	and do that which is right in his eyes
mi landza milawu ya mina ni ku hlayisa swileriso swa mina hinkwaswo	and give ear to his commandments and keep all his statutes
ndzi nga ka ndzi nga mi vangeli ni ntungu ni wun'we wo fana ni leyi ndzi yi vangeleke Vaegipta	I will put none of the diseases on you that I put on the Egyptians
hikuva hi mina HOSI Xikwembu	for I am the LORD
mutshunguri wa n'wina	your healer
Kutani HOSI Xikwembu xi ku ka Muxe	And the LORD said to Moses
Kutani Muxe a ku ka vona	And Moses said to them
Ku nga tshuki ku va ni loyi a nga ta dya a siyela mundzuku	Let no one leave any of it over till the morning
Kambe a va n'wi yingisanga	But they did not listen to Moses
Van'wana va dyile va siyela mundzuku	Some left part of it till the morning
kutani leswi a swi sele swi huma swivungu swi nun'hwa	and it bred worms and stank
kutani Muxe a va holovela swinene	And Moses was angry with them
Masiku hinkwawo nimpundzu a va swi hlengeleta	Morning by morning they gathered it
un'wana ni un'wana a rholela leswi a nga ta kota ku dya a swi heta	each as much as he could eat
kambe loko dyambu ri tlhava	but when the sun grew hot
a swi n'oka	it melted
Kutani va swi veka va vekela siku leri tlhandlamaka	So they laid it aside till the morning
hilaha Muxe a va leriseke hakona	as Moses commanded them
a swi onhakanga	and it did not stink
naswona a swi humanga swivungu	and there were no worms in it
Kutani Muxe a ku ka vona	Moses said
Namuntlha dyanani swona	Eat it today
hikuva i siku ra ku wisa ra Savata leri hlawuleriweke HOSI Xikwembu	for today is a Sabbath to the LORD
namuntlha a mi nga kumi nchumu erivaleni	today you will not find it in the field
Mi fanele ku hlengeleta swakudya leswi hi masiku ya 6	Six days you shall gather it
hi siku ra vu-7	but on the seventh day
ri nga siku ra Savata	which is a Sabbath
a swi nga vi kona	there will be none
Kutani HOSI Xikwembu xi ku ka Muxe	And the LORD said to Moses
Xana mi ta ala ku hlayisa swileriso ni milawu ya mina ku fikela rini xana	How long will you refuse to keep my commandments and my laws
Vaisraele va thya swakudya leswi evito ra manna	Now the house of Israel called its name manna
a swi ringana ni tindzhoho ta nhlampfurha	It was like coriander seed
swi basile	white
swi nyanganya ku fana ni ximbhundzwa lexi totiweke vulombe	and the taste of it was like wafers made with honey
Kutani Muxe a ku	Moses said
HOSI Xikwembu xi lerisile leswaku mi tata xintewana hi swakudya leswi	This is what the LORD has commanded
mi hlayisela vatukulu va n'wina hinkwavo	'Let an omer of it be kept throughout your generations
va ta vona swakudya leswi a ndzi mi phamela swona emananga	so that they may see the bread with which I fed you in the wilderness
loko ndzi mi humesa etikweni ra Egipta	when I brought you out of the land of Egypt
Kutani Muxe a lerisa Aroni a ku	And Moses said to Aaron
Teka xibya u chela xintewana xa manna eka xona	Take a jar
u ya xi veka emahlweni ka HOSI Xikwembu	and put an omer of manna in it
u xi hlayisela vatukulu va n'wina hinkwavo	and place it before the LORD to be kept throughout your generations
Kutani Aroni a endla hilaha HOSI Xikwembu xi leriseke Muxe hakona	As the LORD commanded Moses
a veka xibya lexi emahlweni ka Areka ya Ntwanano leswaku xi hlayiseka	so Aaron placed it before the testimony to be kept
Vaisraele va dyile manna ku ringana malembe ya 40	The people of Israel ate the manna forty years
ku kondza va ya fika etikweni leri a ri tshameka	till they came to a habitable land
va fikile endzilekaneni wa Kanana va ha dya manna	They ate the manna till they came to the border of the land of Canaan
(Mpimo wa xintewana lowu vuriwaka omere wu nghena ka khume eka mpimo lowu vuriwaka efa	(An omer is the tenth part of an ephah
)	)
Kutani va sungula ku holovela Muxe	Therefore the people quarreled with Moses and said
va ku ka yena	Give us water to drink
Hi nyike mati hi nwa! Muxe a va hlamula a ku	And Moses said to them
Mi ndzi holovelela yini xana	Why do you quarrel with me
Xana mi ringela yini HOSI Xikwembu xana	Why do you test the LORD
Hiloko HOSI Xikwembu xi ku ka Muxe	And the LORD said to Moses
Hundzela emahlweni ka vanhu	Pass on before the people
u teka van'wana va vakulukumba va Israele	taking with you some of the elders of Israel
u rhanga na vona	and take in your hand the staff with which you struck the Nile
u famba ni nhonga leyi u nga ba mati ya nambu hi yona	and go
Kutani Yoxuwa a hlula Vaamaleke hi matlhari	And Joshua overwhelmed Amalek and his people with the sword
Kutani Muxe a aka alitari	And Moses built an altar and called the name of it
a yi thya vito ra HOSI-i-mujeko-wanga	The LORD Is My Banner
Yetro a tsaka swinene	And Jethro rejoiced for all the good that the LORD had done to Israel
loko a twa mintirho leyinene leyi HOSI Xikwembu xi endleleke Vaisraele hi ku va kutsula emavokweni ya Vaegipta	in that he had delivered them out of the hand of the Egyptians
Sweswi ndza swi tiva leswaku HOSI Xikwembu xi tlula swikwembu hinkwaswo	Now I know that the LORD is greater than all gods
hikuva xi ponisile Vaisraele eka Vaegipta lava a va va khomile hi tihanyi	because in this affair they dealt arrogantly with the people
Kutani mukon'wana wa Muxe a ku	Moses' father-in-law said to him
Matirhele ya wena a ma hetisekanga	What you are doing is not good
Wena ni vanhu lava u nga na vona mi ta tidlaya hi mintirho	You and the people with you will certainly wear yourselves out
ndzhwalo lowu i wukulu ngopfu eka wena	for the thing is too heavy for you
u nga ka u nga wu koti u ri wexe	You are not able to do it alone
Muxe a lelana ni mukon'wana wa yena	Then Moses let his father-in-law depart
kutani Yetro a timukela karikwavo	and he went away to his own country
