Eku sunguleni, Xikwembu xi tumbuluxile tilo ni misava.	In the beginning, God created the heavens and the earth.
Silivhere leyi humesiweke hi vavanuna lava hlayiweke va ntshungu wa Vaisraele, yi endlile 4 121 kg, hi ku ya hi ntiko wo pima ha wona wa le xivandleni lexo hlawuleka.	The silver from those of the congregation who were recorded was a hundred talents and 1,775 shekels, by the shekel of the sanctuary
Silivhere leyi, yi humesiwile hi vavanuna va 603 550 va malembe ya 20 ni ku ya ehenhla lava teke eku hlayiweni, un'wana ni un'wana a humesa silivhere yo ringana 6 g.	a beka a head (that is, half a shekel, by the shekel of the sanctuary), for everyone who was listed in the records, from twenty years old and upward, for 603,550 men.
Silivhere yo ringana 4 100 kg yi n'okisiwile, yi vumba minkotloto ya 100 ya timhandze ta xivandla lexo hlawuleka ni ta xisirhelelo xa kona, nkotloto wun'we wu vumbiwa hi silivhere ya 41 kg.	The hundred talents of silver were for casting the bases of the sanctuary and the bases of the veil; a hundred bases for the hundred talents, a talent a base.
Silivhere leyi saleke ya 21 kg, va vumbile hi yona swikhweketo swa le timhandzeni, ni ku nameka etinhlokweni ta timhandze, ni ku endla timbalelo ta tona.	And of the 1,775 shekels he made hooks for the pillars and overlaid their capitals and made fillets for them.
Koporo leyi humesiweke yi endlile 2 900 kg.	The bronze that was offered was seventy talents and 2,400 shekels
Va vumbile minkotloto ya timhandze ta le nyangweni ya Ntsonga lowo Hlawuleka hi koporo leyi, va vumba ni alitari ya magandzelo ni ritavala ra yona, ni swingolongondzwana hinkwaswo swa alitari.	with it he made the bases for the entrance of the tent of meeting, the bronze altar and the bronze grating for it and all the utensils of the altar
Va tlhela va vumba hi yona minkotloto hinkwayo ku rhendzeleka ni xivava, ni minkotloto ya le nyangweni ya xivava, ni swikhomiso hinkwaswo swa Ntsonga ni swa xivava ematlhelweni hinkwawo.	the bases around the court, and the bases of the gate of the court, all the pegs of the tabernacle, and all the pegs around the court.
Kutani va rhunga swiambalo leswo saseka swa ntirho wa le xivandleni lexo hlawuleka, hi voya bya muhlovo wa rihlaza ra tilo, ni wa xivunguvungu, ni lowo tshwuka; va rhunga swiambalo leswi swo hlawuleka swa Aroni, hilaha HOSI Xikwembu xi leriseke Muxe hakona.	From the blue and purple and scarlet yarns they made finely woven garments, for ministering in the Holy Place. They made the holy garments for Aaron, as the LORD had commanded Moses.
Va rhunga efodi hi tingoti ta nsuku, ni voya bya muhlovo wa rihlaza ra tilo, ni wa xivunguvungu, ni lowo tshwuka, ni ntsembyani wo saseka lowu lukiweke.	He made the ephod of gold, blue and purple and scarlet yarns, and fine twined linen.
Nsuku va lo wu fula wu va xiphepherhele, kutani va wu pandzelela wu huma tingoti, va rhungelela swifaniso hi tona va ti phasanisa ni voya bya muhlovo wa rihlaza ra tilo, ni wa xivunguvungu, ni lowo tshwuka, ni ntsembyani lowo saseka lowu lukiweke.	And they hammered out gold leaf, and he cut it into threads to work into the blue and purple and the scarlet yarns, and into the fine twined linen, in skilled design.
Kutani va endlela efodi etingoti ta le makatleni, va ti rhungelela etinhleni ta yona letimbirhi.	They made for the ephod attaching shoulder pieces, joined to it at its two edges.
Vamba ro tiyisa ni ku boha efodi va ri rhunga ku fana na yona, hi voya bya muhlovo wa nsuku, ni wa rihlaza ra tilo, ni wa xivunguvungu, ni lowo tshwuka, ni ntsembyani wo saseka lowu lukiweke; va ri endla hilaha HOSI Xikwembu xi leriseke Muxe hakona.	And the skillfully woven band on it was of one piece with it and made like it, of gold, blue and purple and scarlet yarns, and fine twined linen, as the LORD had commanded Moses.
Kutani va lunghisa maribye ya onikisi ya nkoka, va ma vekela eka swiangarhelo swa nsuku; maribye lawa a ma tsariwile mavito ya vana va Yakobo, ma kevetliwile wonge hi loko ku kevetliwa mimfungho.	They made the onyx stones, enclosed in settings of gold filigree, and engraved like the engravings of a signet, according to the names of the sons of Israel.
Va bohelela maribye lawa etingotini ta efodi ta le makatleni, leswaku ma ta va xikombiso xa tinyimba ta Israele, hilaha HOSI Xikwembu xi leriseke Muxe hakona.	And he set them on the shoulder pieces of the ephod to be stones of remembrance for the sons of Israel, as the LORD had commanded Moses.
Kutani va endla xincekana xa le xifuveni, va xi rhungelela swifaniso, va xi endla ku fana ni efodi, hi voya bya muhlovo wa nsuku, ni wa rihlaza ra tilo, ni wa xivunguvungu, ni lowo tshwuka, ni ntsembyani wo saseka lowu lukiweke.	He made the breastpiece, in skilled work, in the style of the ephod, of gold, blue and purple and scarlet yarns, and fine twined linen.
Xincekana lexi a xi ringanana, xi ri 25 cm ku leha ni 25 cm ku anama, loko xi petsiwile.	It was square. They made the breastpiece doubled, a span its length and a span its breadth when doubled.
Kutani exincekaneni lexi va vekela maribye ya nkoka hi tinxaxa ta mune; rixaxa ro sungula a ri ri ni maribye ya nkoka lawa: Sardiyo, na topazi, na garnete	And they set in it four rows of stones. A row of sardius, topaz, and carbuncle was the first row
rixaxa ra vumbirhi a ri ri ni maribye lawa: emeralda, na safiri, na dayimani	and the second row, an emerald, a sapphire, and a diamond
rixaxa ra vunharhu a ri ri ni lawa: yakinta na agata, na ametisita	and the third row, a jacinth, an agate, and an amethyst
rixaxa ra vumune a ri ri ni lawa: berila, na onikisi, na yaspere. Maribye lawa a ma vekeriwile eka swiangarhelo swa nsuku.	and the fourth row, a beryl, an onyx, and a jasper. They were enclosed in settings of gold filigree.
A ku ri ni maribye ya 12 lawa a ma ri ni mavito ya vana va Yakobo eka wona. Ribye rin'wana ni rin'wana a ri yimela yin'wana ya tinyimba ta 12 ta Israele, ri kevetliwile ku fana ni mfungho.	There were twelve stones with their names according to the names of the sons of Israel. They were like signets, each engraved with its name, for the twelve tribes.
Kutani va endlela xincekana xa le xifuveni swinketanana leswi swuriweke ku fana ni tingoti, hi nsuku lowo tenga	And they made on the breastpiece twisted chains like cords, of pure gold.
va endla ni swikhomiso swa xona swimbirhi swa nsuku, ni swingwavila swimbirhi swa nsuku; kutani va vekela swingwavila leswimbirhi etinhleni ta xona letimbirhi.	And they made two settings of gold filigree and two gold rings, and put the two rings on the two edges of the breastpiece.
Va nghenisa swinketanana leswi swimbirhi swa nsuku eswingwavileni leswimbirhi leswi nga etinhleni ta xincekana.	And they put the two cords of gold in the two rings at the edges of the breastpiece.
Va bohelela makumu ya swinketanana leswimbirhi eswikhomisweni leswimbirhi swa nsuku, kutani va swi khomisa etingotini ta efodi ta le makatleni, hi tlhelo ra le mahlweni.	They attached the two ends of the two cords to the two settings of filigree. Thus they attached it in front to the shoulder pieces of the ephod.
Kutani va endla swingwavila swimbirhi hi nsuku, va vekela eka makumu mambirhi ya xincekana xa le xifuveni, enson'weni wa xona wa le ndzeni, kusuhi ni efodi.	Then they made two rings of gold, and put them at the two ends of the breastpiece, on its inside edge next to the ephod.
Va endla swingwavila swin'wana swimbirhi hi nsuku; swona va swi vekela hi le mahlweni, hansi ka tingoti ta efodi ta le makatleni, laha tingoti leti ti hlanganaka kona, ehenhla ka vamba ra efodi.	And they made two rings of gold, and attached them in front to the lower part of the two shoulder pieces of the ephod, at its seam above the skillfully woven band of the ephod.
Kutani va khomisa xincekana xa le xifuveni eswingwavileni swa efodi hi swingwavila leswi, va swi bohelela hi ngoti ya rihlaza ra tilo, leswaku xincekana xi tshama ehenhla ka vamba ra efodi, xi ta kala xi nga suki eka yona, hilaha HOSI Xikwembu xi leriseke Muxe hakona.	And they bound the breastpiece by its rings to the rings of the ephod with a lace of blue, so that it should lie on the skillfully woven band of the ephod, and that the breastpiece should not come loose from the ephod, as the LORD had commanded Moses.
Kutani va endla nguvu leyo leha leyi ambariwaka ni efodi, va yi luka hi voya bya muhlovo wa rihlaza ra tilo ntsena.	He also made the robe of the ephod woven all of blue
Mbhovo leyi a yi ri engubyini leyi, a yi fana ni ya swiambalo swa madzovo, yi somiwile leswaku yi ta ka yi nga handzuki.	and the opening of the robe in it was like the opening in a garment, with a binding around the opening, so that it might not tear.
Emakumu ka nguvu leyi ehansi, va rhungelela swifaniso swa swihenge hi voya bya muhlovo wa rihlaza ra tilo, ni wa xivunguvungu, ni lowo tshwuka, ni ntsembyani wo saseka lowu lukiweke.	On the hem of the robe they made pomegranates of blue and purple and scarlet yarns and fine twined linen.
Va endla ni swingelengele swa nsuku, va swi vekela exikarhi ka swifaniso swa swihenge leswi a swi ri emakumu ka nguvu hi le hansi, ku rhendzeleka na yona.	They also made bells of pure gold, and put the bells between the pomegranates all around the hem of the robe, between the pomegranates
Loko va vekela xingelengele xa nsuku, a va landzisa hi xifaniso xa xihenge, sweswo-sweswo ku rhendzeleka ni nguvu leyi ya ntirho wa vuprista, hilaha HOSI Xikwembu xi leriseke Muxe hakona.	a bell and a pomegranate, a bell and a pomegranate around the hem of the robe for ministering, as the LORD had commanded Moses.
Va rhunga ni tihembe leti lukiweke hi ntsembyani wo saseka, va rhungela Aroni ni vana va yena	They also made the coats, woven of fine linen, for Aaron and his sons
va rhunga xihuku lexikulu ni swihuku leswitsongo hi ntsembyani lowo saseka, ni swiburukwana hi ntsembyani wo saseka lowu lukiweke	and the turban of fine linen, and the caps of fine linen, and the linen undergarments of fine twined linen
va rhunga ni vamba hi ntsembyani wo saseka lowu lukiweke, ni voya bya muhlovo wa rihlaza ra tilo, ni wa xivunguvungu, ni lowo tshwuka, va ri rhungelela mavalavala, hilaha HOSI Xikwembu xi leriseke Muxe hakona.	and the sash of fine twined linen and of blue and purple and scarlet yarns, embroidered with needlework, as the LORD had commanded Moses.
Kutani va fula nsuku lowo tenga wo vekela eharhini leyo hlawuleka wu va xiphepherhele, va tsala eka wona marito lama nge: La hlawuleriweke HOSI, ku fana ni loko ku kevetliwa mfungho.	They made the plate of the holy crown of pure gold, and wrote on it an inscription, like the engraving of a signet, Holy to the LORD.
Va bohelela ngoti ya rihlaza ra tilo eka nsuku lowu wa xiphepherhele, leswaku va ta wu khomisa ha yona exihukwini, hilaha HOSI Xikwembu xi leriseke Muxe hakona.	And they tied to it a cord of blue to fasten it on the turban above, as the LORD had commanded Moses.
Kutani ntirho hinkwawo wa Ntsonga lowo Hlawuleka wa HOSI wu fika emakumu. Vaisraele va endlile hinkwaswo hilaha HOSI Xikwembu xi leriseke Muxe hakona.	Thus all the work of the tabernacle of the tent of meeting was finished, and the people of Israel did according to all that the LORD had commanded Moses; so they did.
Kutani va tisa Ntsonga lowo Hlawuleka eka Muxe, hi leswaku swisirhelelo swa wona, ni swingolongondzwana hinkwaswo swa wona, ni swikhweketo swa wona, ni mapulangi ya wona, ni timhandze ta wona to hingakanya ha tona, ni tiphuphu ta wona, ni minkotloto ya wona	Then they brought the tabernacle to Moses, the tent and all its utensils, its hooks, its frames, its bars, its pillars, and its bases
va tisa ni xo funengeta Ntsonga ha xona, xa madzovo ya tinyimpfu lama tlhuvutsiweke, ni ya timbuti, ni xisirhelelo xo siva Areka	the covering of tanned rams' skins and goatskins, and the veil of the screen
va tisa Areka ya Ntwanano, ni timhandze ta yona, ni xitshamu xa ndzivalelo	the ark of the testimony with its poles and the mercy seat
tafula ni swibya swa rona hinkwaswo, ni xinkwa lexo hlawuleka xa magandzelo	the table with all its utensils, and the bread of the Presence
xitlhoma-timboni xa nsuku lowo tenga ni timboni ta xona leti xaxametiweke, ni swingolongondzwana hinkwaswo swa xitlhoma-timboni, ni mafurha yo voninga	the lampstand of pure gold and its lamps with the lamps set and all its utensils, and the oil for the light
alitari ya nsuku, ni mafurha yo tola, ni mirhi ya risuna leyi hisiwaka engandzelweni, ni xisirhelelo xo pfala nyangwa ya Ntsonga	the golden altar, the anointing oil and the fragrant incense, and the screen for the entrance of the tent
alitari ya koporo, ni ritavala ra yona ra koporo, ni timhandze ta yona, ni swingolongondzwana swa yona hinkwaswo, ni sambelo ni xikhatelo xa rona	the bronze altar, and its grating of bronze, its poles, and all its utensils; the basin and its stand
swisirhelelo swa xivava, ni tiphuphu ta xona ni minkotloto ya kona, ni xisirhelelo xo pfala nyangwa ya xivava, ni tingoti ta kona, ni swikhomiso swa xivava, ni swingolongondzwana hinkwaswo swa ntirho wa Ntsonga lowo Hlawuleka wa HOSI	the hangings of the court, its pillars, and its bases, and the screen for the gate of the court, its cords, and its pegs; and all the utensils for the service of the tabernacle, for the tent of meeting
swiambalo leswi sasekisiweke swa lava tirhaka exivandleni lexo hlawuleka, swi nga swiambalo leswo hlawuleka swa muprista Aroni, ni swiambalo swa vana va yena leswi va nga ta ambala loko va tirha ntirho wa vuprista.	the finely worked garments for ministering in the Holy Place, the holy garments for Aaron the priest, and the garments of his sons for their service as priests.
Vaisraele va endlile ntirho hinkwawo hilaha HOSI Xikwembu xi leriseke Muxe hakona, va nga siyi nchumu.	According to all that the LORD had commanded Moses, so the people of Israel had done all the work.
Loko Muxe a xiyaxiya ntirho, a vona leswaku va wu endlile hi ku landza hinkwaswo leswi HOSI Xikwembu xi leriseke swona, va nga siyanga nchumu. Kutani Muxe a va katekisa.	And Moses saw all the work, and behold, they had done it; as the LORD had commanded, so had they done it. Then Moses blessed them.
HOSI Xikwembu xi ku ka Muxe	The LORD spoke to Moses, saying
Hi siku ro sungula ra n'hweti yo sungula, mi ta yimisa Ntsonga lowo Hlawuleka wa mina HOSI.	On the first day of the first month you shall erect the tabernacle of the tent of meeting.
Endzeni ka wona, mi ta veka Areka ya Ntwanano, mi siva Areka leyi hi xisirhelelo.	And you shall put in it the ark of the testimony, and you shall screen the ark with the veil.
Mi ta nghenisa ni tafula, mi xaxameta swilo swa rona hi ndlela ya kona; mi nghenisa ni xitlhoma-timboni, mi tlhoma timboni eka xona.	And you shall bring in the table and arrange it, and you shall bring in the lampstand and set up its lamps.
Mi ta veka alitari ya nsuku ya mirhi ya risuna emahlweni ka Areka ya Ntwanano, mi hayeka ni xisirhelelo xo pfala nyangwa ya Ntsonga lowo Hlawuleka.	And you shall put the golden altar for incense before the ark of the testimony, and set up the screen for the door of the tabernacle.
Alitari ya magandzelo lama hisiwaka yona mi ta yi veka emahlweni ka nyangwa ya Ntsonga lowo Hlawuleka wa HOSI.	You shall set the altar of burnt offering before the door of the tabernacle of the tent of meeting
Kutani exikarhi ka Ntsonga ni alitari leyi mi veka sambelo, mi chela mati eka rona.	and place the basin between the tent of meeting and the altar, and put water in it.
Kutani mi ta biyela Ntsonga hi xivava, mi hayeka ni xisirhelelo xo pfala nyangwa ya xivava.	And you shall set up the court all around, and hang up the screen for the gate of the court.
Mi ta teka mafurha yo tola, mi tota Ntsonga ni nhundzu ya wona hinkwayo; hi ndlela leyi, mi ta va mi hlawulekisa Ntsonga ni swingolongondzwana swa wona hinkwaswo, kutani wu ta va lowu hlawulekeke.	Then you shall take the anointing oil and anoint the tabernacle and all that is in it, and consecrate it and all its furniture, so that it may become holy.
Mi ta tota ni alitari ya magandzelo lama hisiwaka, ni swingolongondzwana swa yona hinkwaswo; hikokwalaho yi ta va leyi hlawulekeke swinene.	You shall also anoint the altar of burnt offering and all its utensils, and consecrate the altar, so that the altar may become most holy.
Mi ta tota ni sambelo ni xikhatelo xa rona, mi ri hlawulekisa.	You shall also anoint the basin and its stand, and consecrate it.
Kutani u ta ta na Aroni ni vana va yena va xinuna enyangweni ya Ntsonga lowo Hlawuleka, u fika u va hlambisa hi mati	Then you shall bring Aaron and his sons to the entrance of the tent of meeting and shall wash them with water
kutani u ambexa Aroni swiambalo leswo hlawuleka, u n'wi hlawulekisa hi ku n'wi chela mafurha leswaku a va muprista, a ndzi tirhela.	and put on Aaron the holy garments. And you shall anoint him and consecrate him, that he may serve me as priest.
Vana va yena na vona u ta ta na vona, u fika u va ambexa tihembe	You shall bring his sons also and put coats on them
kutani u va chela mafurha ku fana ni tata wa vona, va va vaprista, va ndzi tirhela. Ku cheriwa ka vona mafurha, ku ta endla leswaku ntirho wa vuprista wu va wa vona ni vatukulu va vona hilaha ku nga heriki.	and anoint them, as you anointed their father, that they may serve me as priests. And their anointing shall admit them to a perpetual priesthood throughout their generations.
Kutani Muxe a endla hinkwaswo hilaha HOSI Xikwembu xi n'wi leriseke hakona, a nga siyi nchumu.	This Moses did; according to all that the LORD commanded him, so he did.
Ntsonga wu yimisiwa hi siku ro sungula ra n'hweti yo sungula, hi lembe ra vumbirhi ra ku huma ka Vaisraele etikweni ra Egipta.	In the first month in the second year, on the first day of the month, the tabernacle was erected.
Loko Muxe a yimisa Ntsonga, va vekile minkotloto ya wona, va tlhoma mapulangi ya wona, va hingakanya timhandze ta wona, va tlhoma ni tiphuphu ta wona to seketela	Moses erected the tabernacle. He laid its bases, and set up its frames, and put in its poles, and raised up its pillars.
kutani va tlharamula swisirhelelo swa ntsonga wa vumbirhi, va khubumeta Ntsonga lowo Hlawuleka, va kapeka ni xifunengeto, hilaha HOSI Xikwembu xi leriseke Muxe hakona.	And he spread the tent over the tabernacle and put the covering of the tent over it, as the LORD had commanded Moses.
Kutani va teka maribye ya Ntwanano, va ma veka endzeni ka Areka, va tlhoma ni swikhomo swa yona, va tlhandleka ni xitshamu xa ndzivalelo ehenhla ka yona	He took the testimony and put it into the ark, and put the poles on the ark and set the mercy seat above on the ark.
va rhwala Areka va yi nghenisa eka Ntsonga, va hayeka xisirhelelo, va siva Areka leyi ya Ntwanano, hilaha HOSI Xikwembu xi leriseke Muxe hakona.	And he brought the ark into the tabernacle and set up the veil of the screen, and screened the ark of the testimony, as the LORD had commanded Moses.
Kutani va tisa tafula eka Ntsonga lowo Hlawuleka va ri veka hi tlhelo ra n'walungu ra Ntsonga, ehandle ka xisirhelelo	He put the table in the tent of meeting, on the north side of the tabernacle, outside the veil
kutani va xaxameta swinkwa etafuleni hi ndlela ya kona, emahlweni ka HOSI Xikwembu, hilaha xi leriseke Muxe hakona.	and arranged the bread on it before the LORD, as the LORD had commanded Moses.
Va nghenisa xitlhoma-timboni eka Ntsonga lowo Hlawuleka, va xi veka hi tlhelo ra dzonga ra Ntsonga, xi langutana ni tafula	He put the lampstand in the tent of meeting, opposite the table on the south side of the tabernacle
kutani va tlhoma timboni eka xona emahlweni ka HOSI Xikwembu, hilaha xi leriseke Muxe hakona.	and set up the lamps before the LORD, as the LORD had commanded Moses.
Va nghenisa alitari ya nsuku eka Ntsonga lowo Hlawuleka, va yi veka emahlweni ka xisirhelelo	He put the golden altar in the tent of meeting before the veil
kutani va hisa swinun'hweriso ehenhla ka yona, hilaha HOSI Xikwembu xi leriseke Muxe hakona.	and burned fragrant incense on it, as the LORD had commanded Moses.
Va hayeka xisirhelelo xo pfala nyangwa ya Ntsonga	He put in place the screen for the door of the tabernacle.
va veka alitari ya magandzelo lama hisiwaka kusuhi ni nyangwa leyi ya Ntsonga lowo Hlawuleka wa HOSI, kutani va hisa magandzelo ya nyama ni ya mapa ehenhla ka alitari, hilaha HOSI Xikwembu xi leriseke Muxe hakona.	And he set the altar of burnt offering at the entrance of the tabernacle of the tent of meeting, and offered on it the burnt offering and the grain offering, as the LORD had commanded Moses.
Va veka sambelo exikarhi ka Ntsonga lowo Hlawuleka ni alitari, va chela mati yo hlamba eka rona.	He set the basin between the tent of meeting and the altar, and put water in it for washing
(Muxe na Aroni ni vana va yena a va hlamba mavoko ni milenge hi mati lawa	with which Moses and Aaron and his sons washed their hands and their feet.
loko va nghena eka Ntsonga lowo Hlawuleka, ni loko va ya kusuhi ni alitari, hilaha HOSI Xikwembu xi leriseke Muxe hakona.)	When they went into the tent of meeting, and when they approached the altar, they washed, as the LORD commanded Moses.
Kutani va biyela Ntsonga ni alitari hi xivava, va hayeka ni xisirhelelo xo pfala nyangwa ya xivava. Hi ndlela leyi, Muxe a va a hetile ntirho wa kona.	And he erected the court around the tabernacle and the altar, and set up the screen of the gate of the court. So Moses finished the work.
Kutani papa ri khubumeta Ntsonga lowo Hlawuleka, ku kwetsima ka HOSI Xikwembu ku tata Ntsonga.	Then the cloud covered the tent of meeting, and the glory of the LORD filled the tabernacle.
Muxe a a nga ha koti ku nghena eka Ntsonga lowo Hlawuleka, hikuva papa a ri wu khubumetile, naswona ku kwetsima ka HOSI Xikwembu a ku tatile Ntsonga.	And Moses was not able to enter the tent of meeting because the cloud settled on it, and the glory of the LORD filled the tabernacle.
Eriendzweni ra vona hinkwaro, loko papa ri suka ehenhla ka Ntsonga, Vaisraele a va hundzela emahlweni.	Throughout all their journeys, whenever the cloud was taken up from over the tabernacle, the people of Israel would set out.
Kambe loko papa ri nga suki, a va nga yi emahlweni ni riendzo ra vona, ku fikela siku papa ri sukaka.	But if the cloud was not taken up, then they did not set out till the day that it was taken up.
Papa ra HOSI Xikwembu a ri khubumeta Ntsonga ninhlekanhi; nivusiku a ku pfurha ndzilo epapeni, Vaisraele va ri karhi va swi vona, masiku hinkwawo ya riendzo ra vona.	For the cloud of the LORD was on the tabernacle by day, and fire was in it by night, in the sight of all the house of Israel throughout all their journeys.
HOSI Xikwembu xi vitana Muxe, xi vula-vula na yena xi ri eka Ntsonga lowo Hlawuleka, xi n'wi byela	The LORD called Moses and spoke to him from the tent of meeting, saying
ku ya vulavula ni Vaisraele, a ku ka vona: Loko un'wana wa n'wina a lava ka humesela HOSI Xikwembu magandzelo, ú fanele ku pambula xin'wana xa swifuwo swa yena leswikulu kumbe leswitsongo, a humesa xona.	Speak to the people of Israel and say to them, When any one of you brings an offering to the LORD, you shall bring your offering of livestock from the herd or from the flock.
Loko munhu a humesa magandzelo lama hisiwaka hi xin'wana xa swifuwo swa yena leswikulu, ú fanele ku hlawula nkuzi leyi nga solekiki, a ya yima na yona enyangweni ya Ntsonga lowo Hlawuleka, leswaku a ta tsakeriwa hi HOSI Xikwembu.	If his offering is a burnt offering from the herd, he shall offer a male without blemish. He shall bring it to the entrance of the tent of meeting, that he may be accepted before the LORD.
Kutani ú ta tlhandleka voko enhlokweni ya xifuwo xa magandzelo lama hisiwaka, leswaku xi ta n'wi yimela, xi va xo basisa swidyoho swa yena.	He shall lay his hand on the head of the burnt offering, and it shall be accepted for him to make atonement for him.
Kutani ú ta tlhava nkuzi emahlweni ka HOSI Xikwembu. Vaprista, va nga vana va Aroni, va ta teka ngati va yi humesela HOSI Xikwembu hi ku xuva ha yona alitari matlhelo hinkwawo, enyangweni ya Ntsonga lowo Hlawuleka.	Then he shall kill the bull before the LORD, and Aaron's sons the priests shall bring the blood and throw the blood against the sides of the altar that is at the entrance of the tent of meeting.
Munhu wa kona ú ta yevula nkuzi ya magandzelo lama hisiwaka, a tsemelela nyama ya yona.	Then he shall flay the burnt offering and cut it into pieces
Kutani vana va muprista Aroni va ta tlhandleka tihunyi alitarini, va tshivela ndzilo	and the sons of Aaron the priest shall put fire on the altar and arrange wood on the fire.
kutani va teka nyama leyi tsemeleriweke, ni nhloko, ni mafurha, va swi veketela ehenhla ka ndzilo lowu nga alitarini.	And Aaron's sons the priests shall arrange the pieces, the head, and the fat, on the wood that is on the fire on the altar
Loko swi ri swa le ndzeni ni manqina, swi fanele ku rhanga swi hlantswiwa. Kutani muprista ú ta hisa nyama hinkwayo alitarini. Lawa i magandzelo lama hisiwaka; hi yona mhamba leyi hiseriwaka HOSI Xikwembu, leyi ku nun'hwela ka yona ku nga ta xi tsakisa.	but its entrails and its legs he shall wash with water. And the priest shall burn all of it on the altar, as a burnt offering, a food offering with a pleasing aroma to the LORD.
Loko munhu a lava ku humesa magandzelo lama hisiwaka hi yin'wana ya tinyimpfu ta yena kumbe timbuti ta yena, ú fanele ku tlhava leyi nga solekiki ya xinuna.	If his gift for a burnt offering is from the flock, from the sheep or goats, he shall bring a male without blemish
Xifuwo xa kona a a xi tlhave emahlweni ka HOSI Xikwembu, hi tlhelo ra n'walungu ra alitari. Vaprista, va nga vana va Aroni, va ta teka ngati ya xifuwo, va xuva ha yona alitari matlhelo hinkwawo.	and he shall kill it on the north side of the altar before the LORD, and Aaron's sons the priests shall throw its blood against the sides of the altar.
Loko a xi tsemelerile, muprista ú ta teka nyama ya kona, ni nhloko, ni mafurha, a swi veketela ehenhla ka ndzilo lowu nga alitarini.	And he shall cut it into pieces, with its head and its fat, and the priest shall arrange them on the wood that is on the fire on the altar
Loko swi ri swa le ndzeni ni manqina, swona ú fanele ku rhanga a swi hlantswa. Kutani muprista ú ta teka nyama hinkwayo a yi hisa ehenhla ka alitari. Lawa i magandzelo lama hisiwaka; hi yona mhamba leyi hiseriwaka HOSI Xikwembu, leyi ku nun'hwela ka yona ku nga ta xi tsakisa.	but the entrails and the legs he shall wash with water. And the priest shall offer all of it and burn it on the altar; it is a burnt offering, a food offering with a pleasing aroma to the LORD.
Loko munhu a lava ku humesela HOSI Xikwembu yin'wana ya tinyanyana, a endla ha yona magandzelo lama hisiwaka, ú fanele ku humesa matuva kumbe mavondlo ya matuva.	If his offering to the LORD is a burnt offering of birds, then he shall bring his offering of turtledoves or pigeons.
Muprista ú ta ya ni tuva ra kona alitarini, a fika a ri soholota nhamu, a khatlula nhloko a yi hisa, kutani a kamela ngati ya rona ematlhelo ya alitari.	And the priest shall bring it to the altar and wring off its head and burn it on the altar. Its blood shall be drained out on the side of the altar.
N'winyi wa tuva ú ta teka chelele ra rona ni tinsiva, a swi cukumeta etaleni leri nga kusuhi ni alitari, hi tlhelo ra le vuxeni.	He shall remove its crop with its contents and cast it beside the altar on the east side, in the place for ashes.
Kutani ú ta handzula tuva hi le xikarhi hi ku ri khoma hi timpiko, kambe a nga ri chaputi! Kutani muprista ú ta ri hisa endzilweni lowu nga henhla ka alitari. Lawa i magandzelo lama hisiwaka; hi yona mhamba leyi hiseriwaka HOSI Xikwembu, leyi ku nun'hwela ka yona ku nga ta xi tsakisa.	He shall tear it open by its wings, but shall not sever it completely. And the priest shall burn it on the altar, on the wood that is on the fire. It is a burnt offering, a food offering with a pleasing aroma to the LORD.
Loko munhu a humesela HOSI Xikwembu magandzelo ya swa le masin'wini, ú fanele ku humesa mapa lamanene, a ma chela mafurha, a ma n'wan'wasela ni murhi wa risuna.	When anyone brings a grain offering as an offering to the LORD, his offering shall be of fine flour. He shall pour oil on it and put frankincense on it
Kutani a ya na swona eka vaprista, va nga vana va Aroni, a fika a nusa mapa lama nga ni mafurha a tata xandla, kutani muprista ú ta swi hisa alitarini ni murhi hinkwawo wa risuna, swi va swo suma ha swona; hi yona mhamba leyi hiseriwaka HOSI Xikwembu, leyi ku nun'hwela ka yona ku nga ta xi tsakisa.	and bring it to Aaron's sons the priests. And he shall take from it a handful of the fine flour and oil, with all of its frankincense, and the priest shall burn this as its memorial portion on the altar, a food offering with a pleasing aroma to the LORD.
Mapa lama saleke eka magandzelo lawa, ma ta va ya Aroni ni vana va yena; ma hlawulekile swinene, hikuva hi lawa ma saleke eka mhamba leyi hiseriwaka HOSI Xikwembu.	But the rest of the grain offering shall be for Aaron and his sons; it is a most holy part of the LORD's food offerings.
Loko mi humesa magandzelo ya swa le masin'wini hi leswi swekiweke kunene, humesani swimbhundzwa leswo-ke-comela leswi endliweke hi mapa lamanene lama cheriweke mafurha, kumbe mi humesa xinkwa xo oma lexo-ke-comela lexi totiweke mafurha.	When you bring a grain offering baked in the oven as an offering, it shall be unleavened loaves of fine flour mixed with oil or unleavened wafers smeared with oil.
Loko mi humesa magandzelo hi xinkwa lexi oxiweke kunene, a xi ve xa mapa lamanene, lama cheriweke mafurha, ku nga ri comela.	And if your offering is a grain offering baked on a griddle, it shall be of fine flour unleavened, mixed with oil.
Mi ta xi phemelela, mi xi chela mafurha. Lawa hi wona magandzelo ya swa le masin'wini.	You shall break it in pieces and pour oil on it; it is a grain offering.
Loko mi humesa magandzelo ya swa le masin'wini hi xinkwa lexi katingiweke kunene, a xi ve xa mapa lamanene lama cheriweke mafurha.	And if your offering is a grain offering cooked in a pan, it shall be made of fine flour with oil.
